customer_id,region,age_group,gender,preferred_device,registered_at,is_premium
UC00001,Berlin,18-24,weiblich,Mobile,2023-10-14,ja
UC00002,Hamburg,35-44,männlich,Mobile,2023-02-06,nein
UC00003,Baden-Württemberg,18-24,weiblich,Desktop,2023-07-31,nein
UC00004,Baden-Württemberg,25-34,männlich,Desktop,2023-03-04,nein
UC00005,NRW,25-34,männlich,Mobile,2023-02-06,nein
UC00006,NRW,25-34,weiblich,Mobile,2023-06-28,nein
UC00007,Thüringen,25-34,männlich,Desktop,2023-08-29,nein
UC00008,NRW,25-34,weiblich,Desktop,2023-10-28,nein
UC00009,Bayern,25-34,weiblich,Mobile,2023-09-04,nein
UC00010,Bayern,25-34,männlich,Desktop,2023-09-23,nein
UC00011,Berlin,25-34,männlich,Mobile,2023-05-28,nein
UC00012,Niedersachsen,45-54,weiblich,Mobile,2023-10-26,nein
UC00013,NRW,18-24,weiblich,Mobile,2023-03-23,nein
UC00014,Berlin,45-54,weiblich,Mobile,2023-12-10,nein
UC00015,Baden-Württemberg,25-34,weiblich,Mobile,2023-04-13,nein
UC00016,Baden-Württemberg,35-44,weiblich,Tablet,2023-02-23,nein
UC00017,Bayern,18-24,weiblich,Desktop,2023-11-04,nein
UC00018,Berlin,25-34,männlich,Mobile,2023-04-08,nein
UC00019,Sachsen,18-24,männlich,Desktop,2023-07-28,nein
UC00020,Hessen,25-34,weiblich,Mobile,2023-01-02,nein
UC00021,Sachsen,25-34,weiblich,Mobile,2023-12-21,ja
UC00022,Berlin,55-64,weiblich,Mobile,2023-05-26,nein
UC00023,Baden-Württemberg,45-54,weiblich,Mobile,2023-05-06,nein
UC00024,Bayern,25-34,divers,Desktop,2023-04-03,ja
UC00025,Sachsen,65+,weiblich,Mobile,2023-01-27,nein
UC00026,Baden-Württemberg,25-34,männlich,Tablet,2023-03-06,nein
UC00027,Sachsen,35-44,weiblich,Mobile,2023-10-11,nein
UC00028,Hamburg,25-34,männlich,Mobile,2023-12-16,nein
UC00029,Bayern,25-34,weiblich,Desktop,2023-03-31,nein
UC00030,Bayern,45-54,weiblich,Mobile,2023-01-13,nein
UC00031,Bayern,25-34,männlich,Mobile,2023-02-21,nein
UC00032,Sachsen,35-44,weiblich,Mobile,2023-06-08,nein
UC00033,Bayern,35-44,weiblich,Mobile,2023-10-11,ja
UC00034,Berlin,45-54,weiblich,Desktop,2023-11-07,nein
UC00035,NRW,25-34,weiblich,Mobile,2023-04-19,nein
UC00036,Sachsen,18-24,männlich,Desktop,2023-02-08,ja
UC00037,Thüringen,55-64,männlich,Tablet,2023-11-26,nein
UC00038,Baden-Württemberg,35-44,männlich,Desktop,2023-03-05,nein
UC00039,Thüringen,25-34,männlich,Mobile,2023-06-14,nein
UC00040,Hamburg,45-54,männlich,Mobile,2023-03-15,nein
UC00041,Brandenburg,35-44,männlich,Desktop,2023-01-23,ja
UC00042,Baden-Württemberg,55-64,weiblich,Mobile,2023-07-17,ja
UC00043,NRW,35-44,männlich,Mobile,2023-02-16,nein
UC00044,Berlin,35-44,weiblich,Mobile,2023-09-13,nein
UC00045,Baden-Württemberg,55-64,weiblich,Desktop,2023-04-03,nein
UC00046,Bayern,45-54,weiblich,Tablet,2023-12-30,ja
UC00047,Baden-Württemberg,65+,divers,Mobile,2023-03-24,nein
UC00048,Bayern,25-34,weiblich,Mobile,2023-04-21,ja
UC00049,Hessen,45-54,männlich,Tablet,2023-09-11,nein
UC00050,Berlin,35-44,männlich,Mobile,2023-12-08,ja
UC00051,Bayern,18-24,männlich,Mobile,2023-08-23,nein
UC00052,NRW,45-54,männlich,Mobile,2023-04-08,nein
UC00053,Sachsen,18-24,weiblich,Mobile,2023-01-02,nein
UC00054,Bayern,65+,weiblich,Mobile,2023-10-02,nein
UC00055,Bayern,18-24,männlich,Desktop,2023-07-31,ja
UC00056,NRW,35-44,weiblich,Mobile,2023-05-22,nein
UC00057,Hessen,55-64,männlich,Mobile,2023-04-07,nein
UC00058,NRW,35-44,männlich,Tablet,2023-10-19,ja
UC00059,Niedersachsen,55-64,divers,Desktop,2023-12-09,nein
UC00060,Bayern,55-64,männlich,Mobile,2023-09-18,nein
UC00061,Hessen,25-34,männlich,Mobile,2023-12-05,ja
UC00062,Baden-Württemberg,25-34,männlich,Mobile,2023-11-15,nein
UC00063,NRW,18-24,weiblich,Mobile,2023-12-02,ja
UC00064,Hessen,25-34,weiblich,Desktop,2023-11-24,nein
UC00065,Niedersachsen,18-24,divers,Mobile,2023-04-14,ja
UC00066,Berlin,25-34,männlich,Mobile,2023-07-18,ja
UC00067,Niedersachsen,25-34,weiblich,Mobile,2023-07-21,nein
UC00068,Baden-Württemberg,45-54,männlich,Desktop,2023-05-22,nein
UC00069,Brandenburg,55-64,männlich,Desktop,2023-02-18,nein
UC00070,NRW,25-34,weiblich,Mobile,2023-04-25,nein
UC00071,NRW,45-54,weiblich,Desktop,2023-03-09,nein
UC00072,NRW,35-44,weiblich,Mobile,2023-06-16,nein
UC00073,Berlin,25-34,weiblich,Desktop,2023-07-18,nein
UC00074,Niedersachsen,45-54,weiblich,Mobile,2023-07-20,nein
UC00075,Berlin,18-24,männlich,Mobile,2023-05-01,nein
UC00076,NRW,18-24,weiblich,Mobile,2023-11-27,nein
UC00077,Baden-Württemberg,55-64,männlich,Desktop,2023-05-30,nein
UC00078,NRW,45-54,weiblich,Desktop,2023-10-27,nein
UC00079,Hessen,25-34,männlich,Desktop,2023-06-30,ja
UC00080,NRW,55-64,weiblich,Desktop,2023-09-17,nein
UC00081,Berlin,25-34,männlich,Mobile,2023-11-13,nein
UC00082,Baden-Württemberg,55-64,männlich,Desktop,2023-10-16,nein
UC00083,Baden-Württemberg,45-54,männlich,Mobile,2023-10-30,nein
UC00084,Berlin,25-34,weiblich,Mobile,2023-04-16,nein
UC00085,Niedersachsen,18-24,weiblich,Mobile,2023-03-01,nein
UC00086,Bayern,35-44,männlich,Mobile,2023-03-22,nein
UC00087,NRW,45-54,männlich,Mobile,2023-12-09,nein
