order_id,customer_id,order_date,order_month,channel,device,region,total_revenue,status,is_premium_customer
ORD000001,UC00001,2024-05-23,2024-05,SEA,Mobile,Berlin,47.35,geliefert,ja
ORD000002,UC00001,2024-09-06,2024-09,SEA,Mobile,Berlin,497.74,geliefert,ja
ORD000003,UC00001,2023-08-03,2023-08,E-Mail,Mobile,Berlin,745.02,retourniert,ja
ORD000004,UC00001,2024-04-15,2024-04,SEA,Mobile,Berlin,66.27,geliefert,ja
ORD000005,UC00001,2023-09-10,2023-09,Social Media,Desktop,Berlin,401.06,geliefert,ja
ORD000006,UC00002,2023-07-19,2023-07,Affiliate,Mobile,Hamburg,300.87,geliefert,nein
ORD000007,UC00002,2024-05-30,2024-05,Affiliate,Desktop,Hamburg,651.51,storniert,nein
ORD000008,UC00004,2024-01-28,2024-01,Social Media,Desktop,Baden-Württemberg,129.22,geliefert,nein
ORD000009,UC00005,2023-06-05,2023-06,E-Mail,Desktop,NRW,560.33,geliefert,nein
ORD000010,UC00006,2023-04-06,2023-04,Affiliate,Mobile,NRW,424.4,geliefert,nein
ORD000011,UC00006,2023-03-07,2023-03,Social Media,Mobile,NRW,239.65,retourniert,nein
ORD000012,UC00006,2023-04-24,2023-04,SEA,Mobile,NRW,610.11,retourniert,nein
ORD000013,UC00007,2023-08-08,2023-08,SEA,Desktop,Thüringen,424.73,geliefert,nein
ORD000014,UC00008,2023-11-07,2023-11,E-Mail,Desktop,NRW,316.36,geliefert,nein
ORD000015,UC00008,2024-09-02,2024-09,Social Media,Desktop,NRW,209.66,geliefert,nein
ORD000016,UC00009,2023-10-04,2023-10,E-Mail,Mobile,Bayern,354.68,retourniert,nein
ORD000017,UC00009,2023-10-14,2023-10,Direct,Mobile,Bayern,326.39,geliefert,nein
ORD000018,UC00009,2023-03-28,2023-03,E-Mail,Mobile,Bayern,585.24,geliefert,nein
ORD000019,UC00009,2023-05-19,2023-05,Organic,Mobile,Bayern,437.12,retourniert,nein
ORD000020,UC00010,2024-02-15,2024-02,SEA,Desktop,Bayern,343.2,geliefert,nein
ORD000021,UC00010,2023-06-29,2023-06,Social Media,Mobile,Bayern,166.61,geliefert,nein
ORD000022,UC00010,2023-06-21,2023-06,Social Media,Desktop,Bayern,178.3,geliefert,nein
ORD000023,UC00011,2023-03-21,2023-03,E-Mail,Desktop,Berlin,352.96,geliefert,nein
ORD000024,UC00011,2024-11-10,2024-11,E-Mail,Mobile,Berlin,206.99,retourniert,nein
ORD000025,UC00014,2024-08-04,2024-08,SEA,Mobile,Berlin,53.97,geliefert,nein
ORD000026,UC00014,2024-03-19,2024-03,Social Media,Mobile,Berlin,181.92,geliefert,nein
ORD000027,UC00014,2023-11-16,2023-11,Social Media,Mobile,Berlin,318.75,retourniert,nein
ORD000028,UC00015,2023-06-01,2023-06,Organic,Mobile,Baden-Württemberg,663.65,geliefert,nein
ORD000029,UC00015,2024-09-13,2024-09,SEA,Mobile,Baden-Württemberg,589.35,retourniert,nein
ORD000030,UC00015,2023-09-02,2023-09,SEA,Mobile,Baden-Württemberg,90.84,geliefert,nein
ORD000031,UC00015,2023-02-06,2023-02,Direct,Mobile,Baden-Württemberg,401.52,retourniert,nein
ORD000032,UC00016,2024-06-02,2024-06,Direct,Tablet,Baden-Württemberg,79.8,geliefert,nein
ORD000033,UC00016,2024-12-26,2024-12,E-Mail,Mobile,Baden-Württemberg,31.38,geliefert,nein
ORD000034,UC00017,2024-05-03,2024-05,SEA,Desktop,Bayern,265.52,geliefert,nein
ORD000035,UC00017,2023-07-12,2023-07,SEA,Desktop,Bayern,65.72,geliefert,nein
ORD000036,UC00018,2024-05-19,2024-05,Affiliate,Mobile,Berlin,51.07,retourniert,nein
ORD000037,UC00019,2023-04-12,2023-04,Direct,Desktop,Sachsen,619.73,geliefert,nein
ORD000038,UC00019,2023-06-17,2023-06,SEA,Desktop,Sachsen,93.18,retourniert,nein
ORD000039,UC00019,2024-03-23,2024-03,SEA,Desktop,Sachsen,254.4,geliefert,nein
ORD000040,UC00020,2024-06-21,2024-06,Social Media,Mobile,Hessen,559.45,retourniert,nein
ORD000041,UC00020,2024-07-29,2024-07,Direct,Mobile,Hessen,336.39,geliefert,nein
ORD000042,UC00021,2024-04-02,2024-04,Organic,Mobile,Sachsen,417.15,geliefert,ja
ORD000043,UC00021,2024-04-12,2024-04,SEA,Mobile,Sachsen,133.62,geliefert,ja
ORD000044,UC00021,2023-02-08,2023-02,Organic,Mobile,Sachsen,832.04,retourniert,ja
ORD000045,UC00022,2023-03-14,2023-03,E-Mail,Mobile,Berlin,518.94,geliefert,nein
ORD000046,UC00022,2024-04-08,2024-04,Social Media,Desktop,Berlin,197.39,geliefert,nein
ORD000047,UC00022,2023-06-03,2023-06,Direct,Mobile,Berlin,175.2,geliefert,nein
ORD000048,UC00023,2023-04-25,2023-04,SEA,Mobile,Baden-Württemberg,207.36,geliefert,nein
ORD000049,UC00023,2024-06-02,2024-06,Organic,Mobile,Baden-Württemberg,1053.18,geliefert,nein
ORD000050,UC00024,2023-06-14,2023-06,SEA,Desktop,Bayern,474.08,geliefert,ja
ORD000051,UC00024,2024-05-15,2024-05,E-Mail,Mobile,Bayern,282.21,retourniert,ja
ORD000052,UC00024,2023-10-14,2023-10,Affiliate,Desktop,Bayern,145.12,geliefert,ja
ORD000053,UC00024,2024-09-03,2024-09,SEA,Desktop,Bayern,32.31,geliefert,ja
ORD000054,UC00024,2023-01-16,2023-01,Social Media,Desktop,Bayern,302.94,geliefert,ja
ORD000055,UC00025,2023-07-31,2023-07,SEA,Mobile,Sachsen,221.38,geliefert,nein
ORD000056,UC00025,2023-07-20,2023-07,SEA,Mobile,Sachsen,306.61,geliefert,nein
ORD000057,UC00026,2024-10-18,2024-10,Social Media,Tablet,Baden-Württemberg,71.1,geliefert,nein
ORD000058,UC00026,2023-11-01,2023-11,SEA,Tablet,Baden-Württemberg,197.63,geliefert,nein
ORD000059,UC00027,2023-11-29,2023-11,Social Media,Mobile,Sachsen,567.24,storniert,nein
ORD000060,UC00027,2023-06-25,2023-06,Social Media,Mobile,Sachsen,695.26,geliefert,nein
ORD000061,UC00028,2023-10-14,2023-10,Organic,Mobile,Hamburg,321.03,retourniert,nein
ORD000062,UC00029,2023-12-13,2023-12,E-Mail,Desktop,Bayern,87.02,geliefert,nein
ORD000063,UC00030,2024-11-09,2024-11,Affiliate,Mobile,Bayern,477.46,geliefert,nein
ORD000064,UC00031,2024-06-20,2024-06,Social Media,Mobile,Bayern,25.5,geliefert,nein
ORD000065,UC00031,2024-05-26,2024-05,Direct,Mobile,Bayern,140.12,retourniert,nein
ORD000066,UC00032,2024-09-17,2024-09,Social Media,Mobile,Sachsen,98.81,geliefert,nein
ORD000067,UC00033,2023-03-10,2023-03,Organic,Mobile,Bayern,36.46,retourniert,ja
ORD000068,UC00033,2023-12-13,2023-12,SEA,Mobile,Bayern,369.18,geliefert,ja
ORD000069,UC00033,2023-06-01,2023-06,SEA,Desktop,Bayern,430.25,retourniert,ja
ORD000070,UC00033,2024-06-14,2024-06,Social Media,Tablet,Bayern,565.44,retourniert,ja
ORD000071,UC00034,2024-07-13,2024-07,Organic,Mobile,Berlin,405.28,retourniert,nein
ORD000072,UC00035,2024-12-19,2024-12,Direct,Mobile,NRW,442.62,geliefert,nein
ORD000073,UC00036,2024-06-28,2024-06,Social Media,Desktop,Sachsen,118.08,geliefert,ja
ORD000074,UC00036,2023-02-28,2023-02,SEA,Desktop,Sachsen,208.4,geliefert,ja
ORD000075,UC00036,2023-07-07,2023-07,E-Mail,Desktop,Sachsen,299.85,geliefert,ja
ORD000076,UC00036,2024-12-17,2024-12,SEA,Desktop,Sachsen,1149.8,retourniert,ja
ORD000077,UC00036,2024-11-15,2024-11,E-Mail,Desktop,Sachsen,776.37,geliefert,ja
ORD000078,UC00037,2024-04-16,2024-04,Social Media,Desktop,Thüringen,53.73,geliefert,nein
ORD000079,UC00038,2023-02-19,2023-02,E-Mail,Desktop,Baden-Württemberg,734.02,geliefert,nein
ORD000080,UC00039,2024-01-22,2024-01,Social Media,Mobile,Thüringen,604.03,geliefert,nein
ORD000081,UC00039,2023-08-30,2023-08,Direct,Mobile,Thüringen,119.01,geliefert,nein
ORD000082,UC00039,2023-01-06,2023-01,Organic,Mobile,Thüringen,53.0,geliefert,nein
ORD000083,UC00040,2024-10-29,2024-10,Organic,Mobile,Hamburg,165.49,geliefert,nein
ORD000084,UC00041,2024-09-26,2024-09,E-Mail,Desktop,Brandenburg,312.44,geliefert,ja
ORD000085,UC00041,2023-03-17,2023-03,SEA,Desktop,Brandenburg,383.78,retourniert,ja
ORD000086,UC00042,2024-11-01,2024-11,E-Mail,Mobile,Baden-Württemberg,368.83,retourniert,ja
ORD000087,UC00042,2023-03-03,2023-03,SEA,Mobile,Baden-Württemberg,190.02,geliefert,ja
ORD000088,UC00042,2023-01-20,2023-01,E-Mail,Mobile,Baden-Württemberg,296.4,geliefert,ja
ORD000089,UC00043,2023-03-21,2023-03,E-Mail,Mobile,NRW,228.22,geliefert,nein
ORD000090,UC00043,2023-03-11,2023-03,SEA,Mobile,NRW,407.1,retourniert,nein
ORD000091,UC00044,2024-03-18,2024-03,SEA,Mobile,Berlin,281.16,geliefert,nein
ORD000092,UC00045,2024-10-11,2024-10,Direct,Mobile,Baden-Württemberg,323.86,geliefert,nein
ORD000093,UC00046,2023-03-20,2023-03,SEA,Tablet,Bayern,589.61,retourniert,ja
ORD000094,UC00046,2023-03-27,2023-03,Organic,Tablet,Bayern,370.89,geliefert,ja
ORD000095,UC00046,2024-05-26,2024-05,SEA,Desktop,Bayern,23.46,geliefert,ja
ORD000096,UC00047,2023-06-01,2023-06,E-Mail,Desktop,Baden-Württemberg,176.94,retourniert,nein
ORD000097,UC00048,2024-11-07,2024-11,SEA,Mobile,Bayern,117.58,geliefert,ja
ORD000098,UC00048,2024-11-12,2024-11,E-Mail,Mobile,Bayern,116.35,retourniert,ja
ORD000099,UC00049,2023-02-09,2023-02,Organic,Mobile,Hessen,198.17,geliefert,nein
ORD000100,UC00050,2024-08-27,2024-08,E-Mail,Mobile,Berlin,339.02,retourniert,ja
ORD000101,UC00050,2024-10-14,2024-10,Social Media,Mobile,Berlin,354.69,retourniert,ja
ORD000102,UC00050,2024-10-27,2024-10,SEA,Desktop,Berlin,131.37,geliefert,ja
ORD000103,UC00051,2023-10-20,2023-10,E-Mail,Mobile,Bayern,969.61,geliefert,nein
ORD000104,UC00051,2023-10-08,2023-10,Social Media,Mobile,Bayern,215.42,geliefert,nein
ORD000105,UC00052,2024-11-20,2024-11,E-Mail,Mobile,NRW,109.59,geliefert,nein
ORD000106,UC00054,2023-04-28,2023-04,SEA,Mobile,Bayern,1129.58,geliefert,nein
ORD000107,UC00055,2024-12-29,2024-12,Social Media,Desktop,Bayern,80.78,geliefert,ja
ORD000108,UC00055,2024-06-14,2024-06,Direct,Desktop,Bayern,855.23,retourniert,ja
ORD000109,UC00055,2024-08-22,2024-08,Organic,Desktop,Bayern,233.02,geliefert,ja
ORD000110,UC00055,2024-05-25,2024-05,E-Mail,Mobile,Bayern,785.18,retourniert,ja
ORD000111,UC00057,2023-03-24,2023-03,Direct,Mobile,Hessen,171.88,retourniert,nein
ORD000112,UC00058,2023-10-30,2023-10,SEA,Mobile,NRW,96.52,geliefert,ja
ORD000113,UC00058,2024-03-30,2024-03,Organic,Tablet,NRW,77.88,retourniert,ja
ORD000114,UC00059,2024-11-03,2024-11,Social Media,Tablet,Niedersachsen,111.71,retourniert,nein
ORD000115,UC00059,2023-09-14,2023-09,Organic,Desktop,Niedersachsen,406.18,geliefert,nein
ORD000116,UC00060,2024-12-25,2024-12,SEA,Mobile,Bayern,632.17,geliefert,nein
ORD000117,UC00060,2023-11-26,2023-11,Social Media,Mobile,Bayern,456.22,retourniert,nein
ORD000118,UC00061,2023-04-25,2023-04,Social Media,Mobile,Hessen,384.11,geliefert,ja
ORD000119,UC00061,2024-01-13,2024-01,Direct,Mobile,Hessen,42.84,geliefert,ja
ORD000120,UC00062,2023-03-16,2023-03,Organic,Mobile,Baden-Württemberg,495.8,geliefert,nein
ORD000121,UC00062,2023-09-07,2023-09,SEA,Mobile,Baden-Württemberg,231.9,geliefert,nein
ORD000122,UC00062,2023-02-14,2023-02,Organic,Mobile,Baden-Württemberg,210.54,retourniert,nein
ORD000123,UC00062,2024-11-09,2024-11,Social Media,Tablet,Baden-Württemberg,682.45,retourniert,nein
ORD000124,UC00063,2023-11-17,2023-11,Social Media,Mobile,NRW,323.99,retourniert,ja
ORD000125,UC00063,2024-05-12,2024-05,Social Media,Mobile,NRW,393.45,geliefert,ja
ORD000126,UC00063,2024-07-05,2024-07,E-Mail,Mobile,NRW,236.88,geliefert,ja
ORD000127,UC00063,2023-01-31,2023-01,SEA,Mobile,NRW,162.44,geliefert,ja
ORD000128,UC00063,2023-07-25,2023-07,Social Media,Mobile,NRW,161.45,geliefert,ja
ORD000129,UC00064,2023-05-12,2023-05,Social Media,Desktop,Hessen,54.46,geliefert,nein
ORD000130,UC00065,2023-12-25,2023-12,SEA,Mobile,Niedersachsen,197.01,geliefert,ja
ORD000131,UC00065,2024-12-08,2024-12,Social Media,Mobile,Niedersachsen,248.72,retourniert,ja
ORD000132,UC00065,2024-04-21,2024-04,SEA,Mobile,Niedersachsen,366.49,geliefert,ja
